employee_id,total_requests,required_days,required_days_rate,seniority_days,days_per_year,mon_fri_requests
1,0,0,0.00,500,0.00,0
2,19,84,1.32,556,63,6
3,25,28,1.12,814,11.20,9
5,21,80,3.80,523,60,7
6,3,3,3,20,54,1
7,10,80,6.5,365,80,0
8,22,120,5.45,739,60,7
9,20,120,5.45,703,55,4
10,30,150,5,910,60,10
11,27,135,5,834,63,8
12,18,54,3,365,54,3
13,19,95,5,593,58,7
14,3,25,8.33,150,59,2
15,4,50,12.5,320,54,3
16,1,35,35,200,55,1
18,22,120,5.45,739,60,7
19,20,120,5.45,703,55,4
20,30,150,5,910,60,10
21,27,135,5,834,63,8
22,18,54,3,365,54,3
23,19,95,5,593,58,7
24,3,25,8.33,150,59,2
25,10,54,5.04,365,54,30
26,22,120,5.45,739,60,7
27,20,120,5.45,703,55,4
28,30,150,5,910,60,10
29,27,135,5,834,63,8
30,0,0,0,0,0,0
31,0,0,0,10,0,0
32,0,0,0,30,0,0
33,0,0,0,25,0,0
