evaluator_id,total_requests,approved_requests,rejected_requests,seniority_days
1,720,504,216,720
2,910,637,273,910
3,800,560,240,800
4,850,595,255,850
5,720,504,216,600
6,740,528,212,740
7,950,665,285,950
8,0,0,0,0
9,720,504,216,720
10,910,637,273,910
11,800,560,240,800
12,850,595,255,850
13,720,504,216,600
14,740,528,212,740
15,950,665,285,950
16,720,504,216,720
17,910,637,273,900
18,720,720,0,720
19,720,0,720,720
20,0,0,0,365
21,720,504,216,720
22,910,637,273,910
23,800,560,240,800
24,850,595,255,850
25,720,504,216,600
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
30,100,70,30,0
31,360,252,108,365
32,360,252,108,365
33,360,252,108,365
