text,clase
""" Empresa:  . Legajo:  . Tipo de Accidente: Caída de altura  desde escalera de carga.  Fractura  Tratamiento: Inmovilización con yeso y analgesia. Se deriva al Hospital  para evaluación quirúrgica. Incapacidad Laboral . Dr  -  ART Cubre: Sí (N° Póliza .  Notificado a ART""",Accidente_trabajo
""" Empresa:  . Legajo:  . Tipo de Accidente: Caída de altura  desde escalera de carga.  Fractura  Tratamiento: Inmovilización con yeso y analgesia. Se deriva al Hospital  para evaluación quirúrgica. Incapacidad Laboral . Dr  -  ART Cubre: Sí (N° Póliza .  Notificado a ART""",Accidente_trabajo
""" Empresa:  . Legajo:  . Tipo de Accidente: Caída de altura  desde escalera de carga.  Fractura  Tratamiento: Inmovilización con yeso y analgesia. Se deriva al Hospital  para evaluación quirúrgica. Incapacidad Laboral . Dr  -  ART Cubre: Sí (N° Póliza .  Notificado a ART""",Accidente_trabajo
"""Hospital   Paciente:  .  Empresa: .  Legajo . Accidente: Quemadura térmica grado II en brazo derecho por contacto con aceite caliente  . Control Evolutivo: Persisten molestias y necesidad de curaciones diarias. Incapacidad  . Dra. . ART: (N° Póliza ) """,Accidente_trabajo
"""Hospital   Paciente:  .  Empresa: .  Legajo . Accidente: Quemadura térmica grado II en brazo derecho por contacto con aceite caliente  . Control Evolutivo: Persisten molestias y necesidad de curaciones diarias. Incapacidad  . Dra. . ART: (N° Póliza ) """,Accidente_trabajo
"""Hospital   Paciente:  .  Empresa: .  Legajo . Accidente: Quemadura térmica grado II en brazo derecho por contacto con aceite caliente  . Control Evolutivo: Persisten molestias y necesidad de curaciones diarias. Incapacidad  . Dra. . ART: (N° Póliza ) """,Accidente_trabajo
"""Centro Médico . ART . Edad:  . Empresa .  Legajo: 5678 Accidente: Lesión lumbar por esfuerzo repetitivo . Alta Médica: con secuelas (15% incapacidad permanente parcial). Indicaciones:  Reincorporación Laboral:  . Dr.  . Junta Médica: """,Accidente_trabajo
"""Centro Médico . ART . Edad:  . Empresa .  Legajo: 5678 Accidente: Lesión lumbar por esfuerzo repetitivo . Alta Médica: con secuelas (15% incapacidad permanente parcial). Indicaciones:  Reincorporación Laboral:  . Dr.  . Junta Médica: """,Accidente_trabajo
"""Centro Médico . ART . Edad:  . Empresa .  Legajo: 5678 Accidente: Lesión lumbar por esfuerzo repetitivo . Alta Médica: con secuelas (15% incapacidad permanente parcial). Indicaciones:  Reincorporación Laboral:  . Dr.  . Junta Médica: """,Accidente_trabajo
"""Clínica . Accidente Laboral  . Paciente: .  Empresa:  . Legajo: 3456 . Tipo de Accidente: Caída de andamio a 2 metros de altura en obra . Diagnóstico: Fractura . Dr. """,Accidente_trabajo
"""Clínica . Accidente Laboral  . Paciente: .  Empresa:  . Legajo: 3456 . Tipo de Accidente: Caída de andamio a 2 metros de altura en obra . Diagnóstico: Fractura . Dr. """,Accidente_trabajo
"""Clínica . Accidente Laboral  . Paciente: .  Empresa:  . Legajo: 3456 . Tipo de Accidente: Caída de andamio a 2 metros de altura en obra . Diagnóstico: Fractura . Dr. """,Accidente_trabajo
"""Hospital . Enfermedad Profesional .  Empresa: . Tipo: Hipoacusia bilateral por exposición a ruido . Pérdida auditiva . Estudios: Audiometría -  ART:  . Póliza .  Dra. """,Accidente_trabajo
"""Hospital . Enfermedad Profesional .  Empresa: . Tipo: Hipoacusia bilateral por exposición a ruido . Pérdida auditiva . Estudios: Audiometría -  ART:  . Póliza .  Dra. """,Accidente_trabajo
"""Hospital . Enfermedad Profesional .  Empresa: . Tipo: Hipoacusia bilateral por exposición a ruido . Pérdida auditiva . Estudios: Audiometría -  ART:  . Póliza .  Dra. """,Accidente_trabajo
"""Sanatorio Servicio de Ortopedia y Traumatología  Empresa:  Legajo:  Lesión en pie izquierdo por caída de carga pesada . Fractura metatarsiana. Inmovilización con férula rígida y analgesia. Derivado a evaluación especializada en Hospital  ART:  Póliza:  ART:  Dr.""",Accidente_trabajo
"""Sanatorio Servicio de Ortopedia y Traumatología  Empresa:  Legajo:  Lesión en pie izquierdo por caída de carga pesada . Fractura metatarsiana. Inmovilización con férula rígida y analgesia. Derivado a evaluación especializada en Hospital  ART:  Póliza:  ART:  Dr.""",Accidente_trabajo
"""Sanatorio Servicio de Ortopedia y Traumatología  Empresa:  Legajo:  Lesión en pie izquierdo por caída de carga pesada . Fractura metatarsiana. Inmovilización con férula rígida y analgesia. Derivado a evaluación especializada en Hospital  ART:  Póliza:  ART:  Dr.""",Accidente_trabajo
"""Hospital . Departamento de Cirugía . Paciente . 39 años . Corte profundo en mano derecha con máquina de empaque.  Laceración de tendón extensor Tratamiento: Sutura quirúrgica, curaciones y antibióticos. Incapacidad Laboral .   ART  . Póliza . Notificación ART:  Dr. Julián Pereyra.""",Accidente_trabajo
"""Hospital . Departamento de Cirugía . Paciente . 39 años . Corte profundo en mano derecha con máquina de empaque.  Laceración de tendón extensor Tratamiento: Sutura quirúrgica, curaciones y antibióticos. Incapacidad Laboral .   ART  . Póliza . Notificación ART:  Dr. Julián Pereyra.""",Accidente_trabajo
"""Hospital . Departamento de Cirugía . Paciente . 39 años . Corte profundo en mano derecha con máquina de empaque.  Laceración de tendón extensor Tratamiento: Sutura quirúrgica, curaciones y antibióticos. Incapacidad Laboral .   ART  . Póliza . Notificación ART:  Dr. Julián Pereyra.""",Accidente_trabajo
"""Clínica  Guardia  Paciente: Edad:  Empresa:. Legajo: 3456 Tipo de Accidente: Golpe en la cabeza por caída de objeto. Diagnóstico: Contusión craneal sin pérdida de conocimiento . Tomografía computada sin hallazgos.Analgesia  reposo .  ART: Póliza: Dra.""",Accidente_trabajo
"""Clínica  Guardia  Paciente: Edad:  Empresa:. Legajo: 3456 Tipo de Accidente: Golpe en la cabeza por caída de objeto. Diagnóstico: Contusión craneal sin pérdida de conocimiento . Tomografía computada sin hallazgos.Analgesia  reposo .  ART: Póliza: Dra.""",Accidente_trabajo
"""Clínica  Guardia  Paciente: Edad:  Empresa:. Legajo: 3456 Tipo de Accidente: Golpe en la cabeza por caída de objeto. Diagnóstico: Contusión craneal sin pérdida de conocimiento . Tomografía computada sin hallazgos.Analgesia  reposo .  ART: Póliza: Dra.""",Accidente_trabajo
"""Centro Médico. ART. Edad: 35 años Empresa: - Legajo: 9123 Accidente: Lesión cervical por postura prolongada en tareas administrativas. Alta Médica: Con secuelas (10% de incapacidad permanente parcial). Indicaciones: Reincorporación laboral con adaptación ergonómica. Dr.: - Junta Médica: Pendiente.""",Accidente_trabajo
"""Centro Médico. ART. Edad: 35 años Empresa: - Legajo: 9123 Accidente: Lesión cervical por postura prolongada en tareas administrativas. Alta Médica: Con secuelas (10% de incapacidad permanente parcial). Indicaciones: Reincorporación laboral con adaptación ergonómica. Dr.: - Junta Médica: Pendiente.""",Accidente_trabajo
