empleado_id,total_requests,required_days,required_days_rate,seniority_days,days_per_year,mon_fri_requests
1,43,73,1.697674418604651,884,30.128962588976275,6
2,33,159,4.818181818181818,296,195.82271860712297,1
3,19,69,3.6315789473684212,644,39.084990649709404,7
4,47,73,1.553191489361702,1911,13.940299210250267,4
5,12,102,8.5,1249,29.799137962084743,6
6,25,81,3.24,3030,9.756250484677588,3
7,43,20,0.46511627906976744,1589,4.59302929157242,4
8,23,114,4.956521739130435,930,44.72438236606064,7
9,27,23,0.8518518518518519,2264,3.707441159000426,0
10,15,69,4.6,2588,9.730080572098602,0
11,15,39,2.6,634,22.439762597242915,3
12,28,44,1.5714285714285714,636,25.23708877766691,2
13,40,174,4.35,162,391.1557293751732,9
14,44,14,0.3181818181818182,2695,1.8958471301660442,1
15,28,92,3.2857142857142856,2432,13.805493830078955,2
16,7,132,18.857142857142858,1748,27.55717484621346,10
17,26,87,3.3461538461538463,3085,10.292137234978682,10
18,6,163,27.166666666666668,2946,20.19267809656984,10
19,28,71,2.5357142857142856,2148,12.062661605453448,0
20,48,141,2.9375,3173,16.217800347580567,0
21,34,98,2.8823529411764706,775,46.13311150232472,5
22,42,51,1.2142857142857142,435,42.75722669484226,4
23,6,98,16.333333333333332,1006,35.543763942505954,7
24,25,155,6.2,236,239.35438834006726,1
25,37,49,1.3243243243243243,1952,9.160684605593728,3
26,16,81,5.0625,3420,8.643814329757205,7
27,26,48,1.8461538461538463,172,101.64476546862763,5
28,48,113,2.3541666666666665,472,87.31595270606417,0
29,29,23,0.7931034482758621,1666,5.03791186204703,3
30,31,41,1.3225806451612903,3410,4.388093356576203,0
31,46,188,4.086956521739131,1174,58.431577916576195,1
32,32,134,4.1875,1866,26.206020794431957,4
33,20,175,8.75,180,354.14298783023315,7
34,19,106,5.578947368421052,567,68.19243344231668,7
35,48,32,0.6666666666666666,3601,3.243214725527682,10
36,7,72,10.285714285714286,3523,7.45877875269806,2
37,41,152,3.707317073170732,47,1171.329040430698,10
